state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls
0.32,0.5358649789029536,0.5,0.0,1.0,0.49019607843137253,0.7466745492166716,0.5725806451612903,0.7466527560424274,0.4998496240601504,0.4881889763779527,0.5,0.6183790682833439,0.5064102564102564,0.6184397163120566,0.5291005291005292,0.15789473684210525,0.5294117647058825,0.16666666666666666
0.02,0.49367088607594933,1.0,1.0,0.0,0.0,0.623411173514632,0.4758064516129032,0.6233698487219614,0.569624060150376,0.5039370078740157,0.5697098372257609,0.4881940012763242,0.6794871794871795,0.48865248226950353,0.33333333333333337,0.3157894736842105,0.33333333333333337,0.0
0.24,0.2573839662447257,0.5,0.0,0.0,0.0,0.31983446644989655,0.24999999999999994,0.31977047470005215,0.8300751879699249,0.3070866141732284,0.8301486199575372,0.4853222718570517,0.5576923076923077,0.4858156028368794,0.6931216931216931,0.3157894736842105,0.6941176470588236,0.6666666666666666
0.92,0.3881856540084388,1.0,0.0,0.0,0.0,0.5267514040792196,0.6048387096774193,0.5266910102590854,0.562406015037594,0.5826771653543308,0.5626326963906582,0.25111678366305035,0.6987179487179487,0.25106382978723396,0.4285714285714286,0.15789473684210525,0.4294117647058824,0.5
0.58,0.729957805907173,0.5,0.0,0.0,0.0,0.33047590895654744,0.29838709677419356,0.33037732568248995,0.7395488721804513,0.5905511811023623,0.7395612172682237,0.6375239310784939,0.6602564102564101,0.6375886524822694,0.8201058201058201,0.2631578947368421,0.8215686274509806,0.5
0.28,0.5949367088607594,0.5,0.0,0.0,0.0,0.21371563700857227,0.45161290322580644,0.21370196487567378,0.31729323308270674,0.20472440944881892,0.3174097664543524,0.6368857689853222,0.8717948717948718,0.6368794326241134,0.7513227513227514,0.3157894736842105,0.7509803921568629,0.3333333333333333
0.36,0.7215189873417721,0.0,0.0,0.0,0.0,0.5897132722435708,0.6612903225806452,0.5896365849417493,0.0,0.6141732283464567,0.0,0.7734524569240587,0.4230769230769231,0.7737588652482268,0.6666666666666667,0.5263157894736842,0.6666666666666667,0.5
0.2,0.2995780590717299,0.5,0.0,1.0,0.7254901960784313,0.6133609222583506,0.33064516129032256,0.613284646148496,0.5596992481203008,0.5118110236220472,0.5598018400566172,0.32514358647096364,0.3782051282051282,0.325531914893617,0.7777777777777778,0.3157894736842105,0.7784313725490197,0.5
0.62,0.6244725738396625,0.0,0.0,0.0,0.0,0.3780668046112918,0.4435483870967742,0.3780212137019649,0.7236090225563911,0.43307086614173235,0.7236376503892428,0.43841735800893433,0.6153846153846154,0.4382978723404255,0.5873015873015873,0.47368421052631576,0.5882352941176472,0.16666666666666666
0.26,0.49789029535864976,0.5,0.0,0.0,0.0,0.4333431865208395,0.6048387096774193,0.4333159450530343,0.6018045112781956,0.6299212598425197,0.6019108280254777,0.2945118059987236,0.5064102564102564,0.2943262411347518,0.4656084656084657,0.15789473684210525,0.46666666666666673,0.8333333333333333
1.0,0.36286919831223624,0.5,0.0,0.0,0.0,0.40939994088087495,0.3548387096774193,0.40932011824030606,0.5669172932330827,0.6220472440944882,0.5668789808917198,0.4881940012763242,0.7371794871794872,0.48865248226950353,0.5132275132275133,0.15789473684210525,0.5137254901960785,0.8333333333333333
0.96,0.28270042194092826,0.5,0.0,0.0,0.0,0.40289683712681057,0.24999999999999994,0.402886454529647,0.6475187969924813,1.0,0.6475583864118896,0.25175494575622215,0.5833333333333333,0.25177304964539005,0.6402116402116402,0.15789473684210525,0.6411764705882353,0.5
0.46,0.30801687763713076,1.0,0.0,1.0,0.6470588235294118,0.5356192728347621,0.41935483870967744,0.5355590332116154,0.6463157894736843,0.4645669291338583,0.6464968152866243,0.27791959157626034,0.5128205128205128,0.2780141843971631,0.7724867724867726,0.15789473684210525,0.7725490196078433,0.3333333333333333
0.1,0.22784810126582275,0.0,0.0,1.0,0.49019607843137253,0.45255690215784805,0.6774193548387097,0.4524430533820205,0.31548872180451126,0.4566929133858268,0.3156404812455768,0.3982131461391193,0.49999999999999994,0.39858156028368796,0.5820105820105821,0.10526315789473684,0.5823529411764707,0.5
0.86,0.4430379746835443,1.0,0.0,0.0,0.0,0.5855749334909843,0.4596774193548387,0.5854633976699704,0.6556390977443609,0.37795275590551186,0.6556970983722576,0.4483088704530951,0.48717948717948717,0.4482269503546099,0.6560846560846562,0.05263157894736842,0.6568627450980393,0.3333333333333333
0.0,0.4345991561181434,0.0,0.0,0.0,0.0,0.7859887673662429,0.5403225806451613,0.7859502695183447,0.14977443609022556,0.5984251968503937,0.15003538570417552,0.3583280153158902,0.8012820512820513,0.35815602836879434,0.5185185185185186,0.2631578947368421,0.5196078431372549,0.16666666666666666
0.92,0.5654008438818565,0.5,0.0,0.0,0.0,0.41146911025716815,0.34677419354838707,0.41140671187619543,0.26406015037593983,0.5354330708661417,0.2643312101910828,0.4119336311423102,0.5641025641025641,0.41205673758865247,0.5555555555555556,0.3157894736842105,0.5568627450980392,0.0
